key,8,9,10
#,,,
offset,0,4,8
Int32,String,String,String
0,,,
1,原產於伊爾薩巴德的肉食野獸。曾經主要棲息於蘭蒂斯地區，但後來在加雷馬帝國的統治下，其個體數量急劇減少，如今甚至很難目擊到它的出現了。在當地，它們因同伴間的深厚情誼而為人所熟知。,斬擊屬性物理傷害,對敵人造成6次斬擊屬性物理攻擊傷害
2,分佈在世界各地的小動物，門牙特別發達。雖然是一種會糟蹋果園和穀倉的害獸，但一部分不從事農業生產的人卻認為它們是大地神諾菲卡的僕從，所以並沒有到人人喊打的程度，還經常成為繪畫和木雕的主題。,火屬性魔法傷害,對己方施加加速
3,在大冰雪時代被馴化的羊。經過多次品種改良，最終出現了這種外觀好像一團棉花的品種，確立了家畜的地位。若是發現了脖子上掛著鈴鐺的個體，應該是從牧場當中逃出來的。,打擊屬性物理傷害,對敵人施加睡眠+對己方施加睡眠耐性提升
4,能隨意上岸下水的陸魚，體內有氣囊可以令自己浮空，同時還能夠擺動魚鰭讓自己前進。為了捕食河川中的魚而演化出了較長的嘴。領地意識很強，一旦認準了自己的地盤就絕對不會離開。,水屬性魔法傷害,對己方施加魔法受傷減輕+麻痺耐性提升
5,棲息在森林中的猿類。通常是集體生活，並有一隻猴王為集團領袖，是一種高度社會化的動物。頭腦聰明，對於被它們盯上自家作物的農家來說，它們是很難纏的對手，但若能將其馴服，它們又可以成為很可靠的朋友。,打擊屬性物理傷害,對敵人造成無屬性魔法傷害＋麻痺
6,原產自馬茲拉雅島的一種大型鳥類，已經失去了飛翔的能力。適於食用，尤其是胸肉部分非常美味，但由於能噴射毒性分泌物，飼養時需要先切除毒腺。在逐漸走向各地的過程中，還誕生了羽毛顏色各異的品種。,土屬性魔法傷害+失明<hex:02100103>魔法傷害+失明,對己方施加土屬性耐性提升+失明耐性提升
7,這種奇妙的魔物會四處爬行尋找能充當自己甲殼的礦物。由於不同的棲息地產出的礦物種類各有不同，因此外殼的顏色和硬度也自然出現了差異。另外，該魔物的觸手有很強的毒性，千萬不可食用。,雷屬性魔法傷害,對己方施加物理受傷減輕+中毒耐性提升
8,巨大的節肢動物，有社會性的特徵。兇蛛蠍為成熟的雄性個體，在族群裡為護衛少數負責繁殖的雌性個體而活動。它們能夠射出黏性的絲線，這種絲線不但能夠用來捕捉獵物，也可以用於儲存捉到的獵物。,突刺屬性物理傷害＋中毒,對敵人造成無屬性魔法傷害＋擊退＋止步
9,棲息在拉諾西亞沿岸和威羅迪納河、雜湊瓦河水系的大型蟹類。身體部分被厚重的甲殼保護，肉質非常緊實，是廣為人知的美味食材。由其甲殼代替鍋製成的菜餚也十分有名。,水屬性魔法傷害<hex:02100103>魔法傷害,對敵人造成水屬性魔法傷害＋水屬性耐性降低
10,在與西方新大陸展開貿易後傳播而來的大型蜂類動物。個頭很大，繁殖力也十分旺盛，所以很多人擔心它會擠壓本地生物的生存空間。發射的針中含有毒液，因此驅除它們時需要格外小心。,突刺屬性物理傷害＋中毒,對敵人造成突刺屬性物理傷害＋發動後強制回收
11,分佈在艾歐澤亞全境的食肉怪鳥。主要以腐肉為食，所以在神話中經常是不潔的誘惑者的形象。它們常常會跟在軍隊的後面，以期待戰死者的出現，所以士兵們大多不太喜歡它們。,風屬性魔法傷害,對敵人造成風屬性魔法傷害＋驅魔
12,在第七靈災之後突然出現的植物狀生物。其中似乎有一些具備智慧的個體，個體之間有某種相互溝通的手段，但具體情況不明。近年來不同種類的蔬菜之間結伴行動的情況時有發生。,打擊屬性物理傷害,對敵人造成無屬性魔法傷害＋加重
13,會在夜霧當中突然出現的強大死靈。與同為死屍綱的鬼靈擁有很多共同點，諸如頭部和身上都有著臉狀的圖案等。因為它們總是會出現在墓地和戰場等地，因此也有人認為它們是人類恐懼心理的具象化體現。,雷屬性魔法傷害,對己方施加吸收體力的效果
