key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGYOK6DOCKPOGAQIVLI_00911_QIVLI_000_001,這不是特別顧問閣下嗎，有什麼事想問我嗎？<hex:02100103>要是有我能幫得上忙的事，我定會知無不言。
1,TEXT_REGYOK6DOCKPOGAQIVLI_00911_Q1_000_000,想了解什麼？
2,TEXT_REGYOK6DOCKPOGAQIVLI_00911_A1_000_001,你是做什麼的？
3,TEXT_REGYOK6DOCKPOGAQIVLI_00911_A1_000_002,這裡是什麼地方？
4,TEXT_REGYOK6DOCKPOGAQIVLI_00911_A1_000_003,取消
5,TEXT_REGYOK6DOCKPOGAQIVLI_00911_QIVLI_100_100,我是圖拉爾旅行公司的嚮導奇維利。<hex:02100103>我為利普露大小姐……不，是為利普露社長工作，<hex:02100103>主要負責住宿設施的相關品控。
6,TEXT_REGYOK6DOCKPOGAQIVLI_00911_QIVLI_000_101,利普露社長和玉畢利副社長原本經營著一家老牌羊駝絨床品店，<hex:02100103>我在兩位的母親還經營著的時候就在那裡工作了。
7,TEXT_REGYOK6DOCKPOGAQIVLI_00911_QIVLI_000_102,兩兄妹看中了觀光的商機，立刻就把床品店歸還給上一輩，<hex:02100103>帶了幾個人，將自己的個人財產投進了這項新事業之中……<hex:02100103>這份行動力不僅魄力驚人，還讓人心懷期許。
8,TEXT_REGYOK6DOCKPOGAQIVLI_00911_QIVLI_000_103,不說這些了，為了讓遊客獲得更舒適的體驗，<hex:02100103>今後我也會更加悉心工作的。<hex:02100103>畢竟，觀光和住宿可是圖拉爾旅行公司的兩大支柱啊！
9,TEXT_REGYOK6DOCKPOGAQIVLI_00911_QIVLI_000_200,這裡就是圖拉爾旅行公司的克扎瑪烏卡事務所。<hex:02100103>地名上還是沿用了原本的「水果碼頭」，<hex:02100103>這也是根據哈努族的語言譯成這樣的。
10,TEXT_REGYOK6DOCKPOGAQIVLI_00911_QIVLI_000_201,之前的大暴雨將這一帶毀得一片狼藉，<hex:02100103>而利普露社長與哈努族族長扎努哈利進行了交涉，<hex:02100103>獲得了這一帶的土地使用權和建築許可權。
11,TEXT_REGYOK6DOCKPOGAQIVLI_00911_QIVLI_000_202,哎，這設施真是變得氣派了很多啊。我都不敢認了。<hex:02100103>烏克·耶伏這麼賣力，我在他面前都要抬不起頭了。
12,TEXT_REGYOK6DOCKPOGAQIVLI_00911_QIVLI_100_202,導遊們的訓練所也建好了，這旅行公司也終於是要起步了。<hex:02100103>我會仔細整理好羊駝絨床具，<hex:02100103>繼續用心款待各位遊客的。
13,TEXT_REGYOK6DOCKPOGAQIVLI_00911_QIVLI_200_202,不過，沒想到海牛還能飛上天載人去上游水域觀光啊……<hex:02100103>簡直超乎所有人的想像。
14,TEXT_REGYOK6DOCKPOGAQIVLI_00911_QIVLI_200_203,而且還和馴獸師達成了合作，照料海牛們的工作也不用費心了，<hex:02100103>我作為員工的工作幾乎沒有變化……<hex:02100103>真是越來越佩服我們利普露大小……老闆的手腕了。
15,TEXT_REGYOK6DOCKPOGAQIVLI_00911_QIVLI_300_202,哎呀哎呀，這一次我可真的得說說大小姐了！<hex:02100103>就算是由特別顧問閣下跟著，那也不能直接去強盜的老巢啊！<hex:02100103>唉，雖說確實是僱到了可靠的戰力……
16,TEXT_REGYOK6DOCKPOGAQIVLI_00911_QIVLI_300_203,而且他們居然還都挺認真的，<hex:02100103>來食堂用餐的各位遊客也都挺滿意的，<hex:02100103>看來有他們的協助，今後也能更好地服務遊客了。
17,TEXT_REGYOK6DOCKPOGAQIVLI_00911_QIVLI_400_202,在特別顧問閣下的鼎力支援之下，<hex:02100103>我們圖拉爾旅行公司也終於是成長到連智理院都認可的地步了……<hex:02100103>真心感謝你守護著我們……守護著大小姐。
18,TEXT_REGYOK6DOCKPOGAQIVLI_00911_QIVLI_400_203,不過，旅行公司這才只是剛邁上了一個台階呢，<hex:02100103>今後還將迎來更多的遊客，開闢更多的路線……<hex:02100103>我也會繼續在此盡心竭力工作的。
