# EXD 表名 → 遊戲內文本位置說明（每行「表名,說明」，# 開頭為註解）
# 來源：https://github.com/Souma-Sumire/FFXIVChnTextPatch-Souma/wiki/CSV文件（轉為繁體）
# 資料夾（rawexd 子目錄，表名以 / 結尾；跳過時整個資料夾生效）
content/,副本任務
custom/,雜項
cut_scene/,劇情
dungeon/,迷宮
guild_order/,行會令
leve/,理符/籌備
opening/,新手教學
quest/,任務對話
raid/,大型任務
shop/,道具鑑定/分解
system/,系統
transport/,以太之光/陸行鳥交通
warp/,旅館/永結同心
# 檔案
Achievement,成就
AchievementCategory,成就分類
AchievementKind,成就種類
Action,技能名稱
ActionCategory,技能分類
ActionComboRoute,連擊技能名稱
ActionComboRouteTransient,連擊技能描述
ActionTransient,技能描述
ActivityFeedCaptions,成就（達成時文本）
ActivityFeedGroupCaptions,成就（達成時文本）
Addon,系統界面
AddonTransient,系統界面描述
Adventure,探索筆記
Aetheryte,以太之光
AirshipExplorationLog,空島
AirshipExplorationParamType,飛空艇數據
AirshipExplorationPoint,飛空艇探索點
AkatsukiNoteString,隨身見聞錄
AnimaWeapon5Param,魂武屬性加點
AnimaWeapon5PatternGroup,魂武水晶砂交換品
AnimaWeapon5SpiritTalkParam,魂武
AnimaWeaponFUITalkParam,魂武
AozActionTransient,青魔技能描述
AOZScore,青魔挑戰
AquariumWater,水族箱環境
Balloon,氣泡台詞
BankaCraftWorks,珠串萬貨街
BannerBg,肖像背景
BannerDecoration,肖像裝飾
BannerDesignPreset,肖像預設
BannerFrame,肖像邊框
BannerObtainHintType,肖像獲取提示
BannerTimeline,肖像動作
BaseParam,角色狀態參數
BeastReputationRank,友好部族等級
BeastTribe,友好部族
BgcArmyAction,冒險者小隊號令
BgcArmyActionTransient,冒險者小隊號令描述
BNpcName,敵人名稱
BuddyAction,陸行鳥（搭檔）指令
BuddyEquip,陸行鳥裝備
CabinetSubCategory,時裝服飾
CharaCardBase,銘牌底色
CharaCardDecoration,銘牌花紋
CharaCardDesignCategory,銘牌分類
CharaCardDesignPreset,銘牌預設
CharaCardHeader,銘牌頂部裝飾
CharaCardPlayStyle,遊戲風格（個人信息）
ChatBubbleType,聊天氣泡類型
ChocoboRaceAbility,陸行鳥競賽技能
ChocoboRaceChallenge,陸行鳥競賽關卡
ChocoboRaceItem,陸行鳥競賽道具
ChocoboTaxiStand,陸行鳥運輸站點
CircleActivity,同好會主要活動
ClassJob,職業/特職
ClassJobActionUICategory,職業技能分類
ClassJobCategory,職業/特職分類
CollectablesShop,收藏品（生產）商店
CollectablesShopItemGroup,收藏品（生產）商店分類
ColorFilter,集體動作濾鏡
ColosseumMatchRank,PVP段位
Companion,寵物
CompanionMove,寵物行動方式
CompanionTransient,寵物描述
CompanyAction,部隊特效
CompanyCraftDraft,部隊合建設計圖
CompanyCraftDraftCategory,部隊合建設計圖分類
CompanyCraftManufactoryState,部隊合建品質
CompanyCraftType,部隊合建筆記範圍/種類
CompleteJournal,已完成日誌
Completion,定型文
ConfigKey,熱鍵
ContentFinderCondition,副本名稱
ContentFinderConditionTransient,任務查找器描述
ContentGauge,副本機制量譜
ContentRoulette,隨機任務
ContentsNote,挑戰筆記
ContentsNoteCategory,挑戰筆記分類
ContentsTutorial,特殊場景探索
ContentsTutorialPage,特殊副本教學詳情
ContentTalk,副本內對話（行會令或特殊副本）
ContentType,副本類型
ContentUICategory,副本UI分類
CraftAction,生產技能
CraftLeveTalk,生產理符
CraftType,生產配方類型
CSBonusTextData,莫古力收集活動
CustomTalk,雜項對話
DawnMemberUIParam,拂曉成員
DeepDungeon,深層迷宮
DeepDungeon4GimmickEffectTransient,7.0深層迷宮相關
DeepDungeonDemiclone,深層迷宮複製體
DeepDungeonEquipment,深層迷宮聚魔裝備
DeepDungeonFloorEffectUI,深層迷宮魔法效果
DeepDungeonItem,深層迷宮道具
DeepDungeonMagicStone,深層迷宮魔石
DefaultTalk,雜項對話
Description,概要描述
DescriptionStandAloneTransient,概要描述相關
DescriptionString,概要描述相關
DisposalShop,交換證書商店
DisposalShopFilterType,交換證書商店篩選
DpsChallenge,木人挑戰
DynamicEvent,博茲雅/高原CE
DynamicEventEnemyType,博茲雅/高原CE敵人類型
DynamicEventSingleBattle,博茲雅的Fate台詞
EmjAddon,麻將
EmjCostumeData,版本服飾
Emote,情感動作
EmoteCategory,情感動作分類
ENpcResident,NPC名稱
EObjName,副本可交互對象名
Error,報錯訊息
EurekaAetherItem,優雷卡以太壺
EurekaMagiciteItemType,優雷卡相關
EventAction,交互動作
EventItem,任務道具
EventItemCategory,任務道具分類
EventItemHelp,任務道具描述
EventPathMove,傳送相關
EventSituationIconTooltip,FATE相關
EventTutorial,任務事件相關
EventTutorialPage,任務事件相關教學
EventVfx,特效
ExtraCommand,特殊命令
ExVersion,資料片版本名
FashionCheckThemeCategory,時尚品鑑裝備關鍵詞
FashionCheckWeeklyTheme,時尚品鑑主題
Fate,臨危受命
FateEvent,Fate事件
FCActivity,部隊相關
FCActivityCategory,部隊動態類型
FCAuthority,部隊階級權限
FCAuthorityCategory,部隊階級權限設置類別
FCChestName,部隊箱
FccShop,部隊戰績交易
FCHierarchy,部隊階級
FCProfile,部隊主要活動
FCReputation,部隊所屬軍隊友好關係等級
FCRights,部隊功能
FieldMarker,場景標記
FishingSpot,釣魚相關
FishParameter,釣魚相關
FittingShopCategory,釣魚相關
FittingShopItemSet,季節活動商店
FurnitureCatalogCategory,季節活動商店分類
GatheringCondition,採集相關
GatheringPointBonusType,採集相關
GatheringPointName,採集點名稱
GatheringSubCategory,採集相關
GatheringType,採集點類型
GcArmyCandidateCategory,冒險者小隊相關
GcArmyExpedition,冒險者分隊任務
GcArmyExpeditionTrait,冒險者小隊相關
GcArmyExpeditionTraitCond,冒險者小隊相關
GcArmyExpeditionType,冒險者分隊任務類型
GcArmyTraining,冒險者分隊訓練
GCRankGridaniaFemaleText,雙蛇黨軍銜名（女）
GCRankGridaniaMaleText,雙蛇黨軍銜名（男）
GCRankLimsaFemaleText,黑渦團軍銜名（女）
GCRankLimsaMaleText,黑渦團軍銜名（男）
